route_id,service_id,trip_id,trip_headsign,direction_id
BER_S9,WEEKDAY,S9_D0_1,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_2,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_3,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_4,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_5,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_6,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_7,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_8,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_9,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_10,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_11,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_12,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_13,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_14,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_15,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_16,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_17,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_18,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_19,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_20,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_21,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_22,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_23,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_24,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_25,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_26,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_27,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_28,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_29,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_30,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_31,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_32,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_33,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_34,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_35,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_36,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_37,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_38,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_39,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_40,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_41,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_42,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_43,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_44,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_45,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_46,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_47,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_48,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_49,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_50,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_51,Flughafen BER,0
BER_S9,WEEKDAY,S9_D0_52,Flughafen BER,0
